Ticker,Nom,SUB_IND_GICS,IND_GICS,REGION_NAME,CUR_MKT_CAP,CURR_ENTP_VAL,NET_INCOME_FIRM,SALES_REV_TURN,NET_REV,GROSS_PROFIT,EBIT,EBITDA,NET_DEBT,CURRENT_EV_TO_T12M_EBIT,CURRENT_EV_TO_T12M_EBITDA,PX_TO_SALES_RATIO,TRAIL_12M_NET_SALES,CURRENT_EV_TO_12M_SALES,PE_RATIO,NUM_OF_EMPLOYEES,SUSTAIN_GROWTH_RT,PROF_MARGIN,Unnamed: 23
UBSI,United Bankshares Inc/WV,Regional Banks,Financials,United States,4940714207.0,,,1073.209,1020.826,,,,-2725.229,,,4.357577838,1073.209,,12.78757871,2966.0,3.014061447,36.02357307,
ARW,Arrow Electronics Inc,Technology Distributors,Information Technology,United States,8112337988.0,10864.49099,1210.03581,34477.018,,4202.365,1556.822,1849.368,2693.602,6.918013386,5.874704758,0.251460741,34477.018,0.3151227,7.911870079,20700.0,21.36980802,3.214306411,
UFCS,United Fire Group Inc,Property & Casualty Insurance,Financials,United States,709497222.1,627.3932221,83.24626271,1066.191,,,,,-82.104,6.272050605,,0.666677434,1066.191,0.588443555,16.64682265,1086.0,8.836562907,7.559058368,
PAHC,Phibro Animal Health Corp,Pharmaceuticals,Health Care,United States,818982953.8,1158.234954,65.60924971,833.35,,271.377,74.868,114.742,333.494,15.19235754,9.674935153,0.931160717,879.406,1.317065103,15.30932045,1725.0,23.53429839,6.526069479,
KMPR,Kemper Corp,Property & Casualty Insurance,Financials,United States,3359571013.0,4333.271013,,5793.0,,,,,973.7,,,0.583341373,5809.0,0.748018473,,9500.0,,-2.080096668,
HEI/A,HEICO Corp,Aerospace & Defense,Industrials,United States,17326372641.0,17733.54264,310.4265298,1865.682,,727.423,392.9,504.022,205.384,43.1014776,35.13853993,8.257635721,1938.123,9.149854081,50.93534404,5600.0,12.65199365,16.30610147,
PTCT,PTC Therapeutics Inc,Biotechnology,Health Care,United States,2427751263.0,2189.754263,,538.593,,506.265,-374.443,-293.898,-237.997,,,4.452319157,538.589,4.065693879,,1177.0,,-97.2721517,
VST,Vistra Corp,Independent Power Producers & Energy Traders,Utilities,United States,9941008290.0,21357.00829,,12077.0,,2908.0,-1515.0,539.0,9415.0,,39.623392,0.88213602,12077.0,1.768403435,,5060.0,-15.32197987,-10.5489774,
STON,StoneMor Inc,Specialized Consumer Services,Consumer Discretionary,United States,312855398.7,614.2153987,,279.539,,135.977,3.341,15.703,287.827,39.98017306,23.63094024,0.981259743,318.495,1.928493065,10.9461618,1476.0,,-2.990280426,
VMI,Valmont Industries Inc,Construction & Engineering,Industrials,United States,4857127589.0,5836.553589,228.1799299,3501.575,,883.889,286.785,401.683,952.676,19.99008259,14.53024795,1.381579978,3501.575,1.666836663,21.56954465,11041.0,9.211455906,5.58691446,
VICR,Vicor Corp,Electrical Components & Equipment,Industrials,United States,3123057847.0,2900.506847,56.625,359.364,,178.2,55.602,68.391,-222.857,52.0352525,42.41065121,8.634753984,359.364,8.071222623,56.48446843,1027.0,14.62386641,15.75700404,
VOXX,VOXX International Corp,Consumer Electronics,Consumer Discretionary,United States,238994585.8,199.8275858,29.28553658,563.605,,158.547,22.479,34.681,-49.716,25.60579009,9.546967934,0.382519865,634.561,0.314906819,,921.0,,4.749248144,
DX,Dynex Capital Inc,Mortgage REITs,Financials,United States,582252983.4,3179.479983,,60.051,,,35.966,156.445,2485.727,88.40237956,20.3233084,8.56657236,60.05,52.94632868,31.01271778,19.0,-2.864772351,170.2902533,
TTEK,Tetra Tech Inc,Environmental & Facilities Services,Industrials,United States,8544866638.0,8840.970638,243.9320054,2552.172,,498.4,278.701,393.476,287.673,28.97287905,21.35990297,3.257172785,2626.334,3.366278104,35.1284897,21000.0,17.89667971,9.122034095,
WTS,Watts Water Technologies Inc,Industrial Machinery,Industrials,United States,4770136773.0,4724.236773,170.1592482,1809.2,,767.1,239.6,296.2,-45.9,19.56456842,15.94948269,2.647916887,1809.2,2.6112297,26.69135615,4597.0,11.546494,9.158744196,
WBS,Webster Financial Corp,Regional Banks,Financials,United States,10425213664.0,,,1266.216,1224.461,,,,932.058,,,4.133657657,1266.216,,12.1229434,3245.0,8.34440649,33.39134525,
WDFC,WD-40 Co,Household Products,Consumer Staples,United States,2628248211.0,2690.909211,72.17351329,488.109,,263.739,88.841,97.86,38.744,31.841688,28.86777033,5.282563359,498.296,5.400222381,40.86084062,540.0,16.39339251,14.38797482,
AMBC,Ambac Financial Group Inc,Property & Casualty Insurance,Financials,United States,560677772.6,2879.677773,-1513.0,282.0,,,,,2241.0,15.23639033,,1.994102588,282.0,10.21162331,,122.0,,-6.028368794,
WERN,Werner Enterprises Inc,Trucking,Industrials,United States,2776890862.0,3215.155862,262.3943903,2734.372,,477.934,309.146,592.546,402.318,10.38226527,5.426002137,1.041426924,2734.372,1.17582972,15.05098101,9988.0,18.39541796,9.473912109,
FRBA,First Bank/Hamilton NJ,Regional Banks,Financials,United States,280002045.6,,,98.868,89.644,,,,-43.052,,,2.824642204,98.868,,7.799671018,217.0,11.94569705,39.52188657,
WAFD,Washington Federal Inc,Thrifts & Mortgage Finance,Financials,United States,2262040323.0,,,652.171,565.67,,,,-364.612,,,3.654516169,659.6,,13.35612282,2100.0,6.307257071,32.45973801,
JW/A,John Wiley & Sons Inc,Publishing,Communication Services,United States,2894241175.0,3863.652175,163.7489172,1941.501,,1316.166,185.511,375.475,896.065,-18.66385438,,1.408152596,2073.527,1.863323783,19.8728494,7400.0,6.127599488,7.636153677,
