Column1;#N/A Requesting Data...;#N/A Requesting Data..._1;#N/A Requesting Data..._2;#N/A Requesting Data..._3;#N/A Requesting Data..._4;#N/A Requesting Data..._5;#N/A Requesting Data..._6;#N/A Requesting Data..._7;#N/A Requesting Data..._8;#N/A Requesting Data..._9;#N/A Requesting Data..._10;#N/A Requesting Data..._11;#N/A Requesting Data..._12;#N/A Requesting Data..._13;#N/A Requesting Data..._14;Colonne1
;CUR_MKT_CAP;CURR_ENTP_VAL;NET_INCOME_FIRM;SALES_REV_TURN;NET_REV;GROSS_PROFIT;EBIT;EBITDA;NET_DEBT;CURRENT_EV_TO_T12M_EBIT;CURRENT_EV_TO_T12M_EBITDA;PX_TO_SALES_RATIO;TRAIL_12M_NET_SALES;CURRENT_EV_TO_12M_SALES;PE_RATIO;Datetime of data import
BSX UN Equity;61132177263;68647,17726;#N/A N/A;9913;#N/A N/A;6448;-80;1135;7880;67,90027425;32,62698539;5,322079994;11469;5,985454465;46,6197443;
BWA UN Equity;10513970409;13656,97041;542,936722;10165;#N/A N/A;1910;618;1215;2305;11,50545106;6,825072668;0,689260138;15109;0,90389638;10,9160328;
BXP UN Equity;17545546676;32847,22168;#N/A N/A;2888,621;#N/A N/A;#N/A N/A;968,04;1685,376;12892,899;33,53488979;19,4895511;6,057923625;2888,621;11,37124658;42,88167361;
C UN Equity;1,29215E+11;256180,4826;#N/A N/A;79865;71884;#N/A N/A;35450;33164;107270;9,287048453;#N/A N/A;1,658496198;79865;3,207668974;6,613605761;
CAG UN Equity;16674293130;26067,69313;1671,866901;11184,7;#N/A N/A;3179,2;1776,2;2214,9;9151,4;17,28856157;13,7487833;1,49192866;11222,8;2,322744157;15,3558318;
CAH UN Equity;14531807263;17725,80726;#N/A N/A;162467;#N/A N/A;6778;472;1374;3308;11,73117622;7,853702819;0,089555158;167370;0,105907912;11,96488067;
CARR UN Equity;41318769558;49172,76956;2191,382837;17456;#N/A N/A;5109;2876;3212;7915;15,52660864;13,99737249;2,062276609;20074;2,44957505;35,33508697;
CAT UN Equity;1,09032E+11;110436,1889;6873,380302;50971;#N/A N/A;15003;6878;9230;1372;16,02721832;11,96491754;2,151542909;50971;2,166647484;18,60134235;
CB UN Equity;84976639718;98959,63972;3971,017299;35994;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;14026;9,411282902;#N/A N/A;2,186427001;40328;2,453869265;16,68944874;
CBOE UF Equity;12640392064;13668,29206;495,636917;1254,3;#N/A N/A;#N/A N/A;662,2;840,9;1010,7;18,85337672;15,0052608;9,12119996;1392,7;9,814240011;25,52609728;
CBRE UN Equity;33915038860;36188,88586;804,7868983;23826,195;#N/A N/A;4778,575;969,759;1673,259;2318,322;24,3020816;18,12453873;1,30256416;26106,32;1,386211686;20,3741322;
CCI UN Equity;78844320000;105561,32;#N/A N/A;6340;#N/A N/A;#N/A N/A;2001;3645;26717;47,50692782;28,96058162;12,43601224;6340;16,65005047;60,18202483;
CCL UN Equity;22304174984;47772,17498;#N/A N/A;1908;#N/A N/A;1449;-7090;-4654;25468;#N/A N/A;#N/A N/A;11,77164293;1908;25,03782756;#N/A N/A;
CDAY UN Equity;11473937725;12272,93773;#N/A N/A;842,5;#N/A N/A;341,3;7,8;64,6;524,1;#N/A N/A;705,3412486;11,72211796;964,9;12,71938825;#N/A N/A;
CDNS UW Equity;42164231740;41497,79774;610,0123305;2682,891;#N/A N/A;2377,393;645,552;830,936;-433,803;54,00630637;45,40319933;13,99587082;2975,117;13,94829102;58,22314896;
CDW UW Equity;25658438443;29638,93844;#N/A N/A;18467,5;#N/A N/A;3210,1;1179,2;1657,8;2711,6;20,99223631;18,20014642;1,308938679;20240,1;1,464367194;26,92078526;
CE UN Equity;16952279742;20921,27974;1967,641459;8537;#N/A N/A;2682;1946;2308;3621;10,72464305;9,064679264;2,02582094;8537;2,450659452;8,486395564;
CERN UW Equity;26649627422;27703,65842;802,9680573;5505,788;#N/A N/A;4572,847;914,567;1648,99;398;41,34787993;20,01324776;4,823611813;5707,534;4,85387532;37,65125399;
CF UN Equity;14770923553;20422,92355;484,0151188;4124;#N/A N/A;801;612;1611;3540;28,52363625;12,79631802;2,903339973;5100;4,004494814;22,79250834;
CFG UN Equity;21936492177;#N/A N/A;#N/A N/A;6986;6647;#N/A N/A;#N/A N/A;#N/A N/A;-2468;#N/A N/A;#N/A N/A;3,136103627;6986;#N/A N/A;9,634016185;
CHD UN Equity;25061829770;27384,12977;835,1297186;5190,1;#N/A N/A;2263,5;1079,1;1298,2;2322,3;25,19924093;21,09392218;4,8443173;5190,1;5,276223921;33,87788829;
CHRW UW Equity;13603187898;15438,8609;#N/A N/A;16207,106;#N/A N/A;1169,39;673,268;861,446;1184,251;15,41567572;13,06582046;0,661524357;21149,742;0,729978687;18,16320004;
CHTR UW Equity;1,17104E+11;209423,6757;8016,060113;51682;#N/A N/A;27462;10526;20194;92320;19,80640676;10,37058907;2,105760432;51682;4,052158889;21,06594167;
CI UN Equity;76380845027;106508,845;9581,222488;160401;#N/A N/A;24207;8153;11145;22049;13,7555011;10,01399446;0,468794081;170102;0,62614693;15,11399978;
CINF UW Equity;18987243794;18806,24379;1259,805203;7536;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-1;5,8898352;#N/A N/A;2,10777369;9001;2,089350494;19,45516328;
CL UN Equity;69492874573;76233,87457;2838,509734;17421;#N/A N/A;10375;3332;3888;6379;22,70061826;19,60747803;3,998972527;17421;4,375975809;25,82385684;
CLX UN Equity;20623743901;23822,7439;789,09;7341;#N/A N/A;3199;927;1211;2867;35,29295393;26,76712798;2,895236268;7231;3,29452965;29,07627327;
CMA UN Equity;12154180000;#N/A N/A;#N/A N/A;3024;2967;#N/A N/A;#N/A N/A;#N/A N/A;-20080;#N/A N/A;#N/A N/A;4,15274526;3024;#N/A N/A;11,16486147;
CMCSA UW Equity;2,284E+11;321626,463;17260,83596;116385;#N/A N/A;77935;20817;34621;91309;15,33069726;9,289924122;1,975110727;116385;2,763470061;16,59654938;
CME UW Equity;82482140957;84952,94096;2233,807942;4883,6;#N/A N/A;#N/A N/A;2637,4;3154,6;2337,9;33,32512694;28,36681613;17,71376214;4640,9;18,30527289;39,64830314;
CMG UN Equity;41797396445;44264,31245;#N/A N/A;5984,634;#N/A N/A;1041,081;290,164;858,988;2205,449;57,97301812;40,37289064;5,803500072;7194,138;6,152830603;67,72409753;
CMI UN Equity;31592874586;33891,87459;1866,459367;19811;#N/A N/A;4894;2269;3114;755;11,93375866;9,653054567;1,342419767;24001;1,412102603;14,62850563;
CMS UN Equity;18650717904;31965,7179;1231,691525;6680;#N/A N/A;4172;1362;2420;15045;23,69586205;12,9730998;2,588794807;7164;4,461993007;22,59496687;
CNC UN Equity;45373187992;53340,18799;2278,981608;111115;#N/A N/A;21548;3082;4682;5937;41,98966714;17,58660995;0,371904356;121702;0,438285221;18,65803304;
CNP UN Equity;17834632216;35065,63222;#N/A N/A;7418;#N/A N/A;5673;1039;2239;13368;26,72685382;13,46089528;1,99403781;8092;4,333370269;20,86510782;
COF UN Equity;60731547000;86916,547;#N/A N/A;32033;30435;#N/A N/A;17407;10113;21340;5,479413306;#N/A N/A;2,022694772;32033;2,713343958;5,432423425;
COO UN Equity;19634559360;21285,25936;#N/A N/A;2922,5;#N/A N/A;1955,8;505,8;859,2;1650,5;41,42209124;24,77334655;6,73023834;2922,5;7,283236736;7,307945968;
COP UN Equity;1,16885E+11;126042,0714;#N/A N/A;18784;#N/A N/A;87;-2329;3513;9554;19,16989678;9,308180441;3,136125896;36199;3,481921361;24,97439089;
COST UW Equity;2,23991E+11;221167,0517;5137,016317;195929;#N/A N/A;25245;6708;8785;-1748;31,72673241;25,18986921;1,102350027;203084;1,089042227;42,01555946;
CPB UN Equity;13312675177;18522,67518;1160,443114;8476;#N/A N/A;2811;1545;1940;5223;12,68676382;8,824523667;1,595383123;8372;2,212455229;15,42855287;
CPRT UW Equity;30656608584;29891,63158;953,3967978;2692,511;#N/A N/A;1343,091;1136,426;1287,812;-530,191;24,54251649;21,78736401;10,51001629;2909,703;10,27308684;32,48019525;
CRL UN Equity;16641140214;19636,32021;434,9224407;2923,933;#N/A N/A;1073,541;432,729;698,945;1930,606;35,41621294;23,24163188;4,824736352;3426,1;5,73139144;39,858596;
CRM UN Equity;2,29141E+11;234087,55;#N/A N/A;21252;#N/A N/A;15814;455;4509;-5557;255,2754089;43,64048285;8,737846183;24983;9,369873514;117,2396126;
CSCO UW Equity;2,34794E+11;222137,1569;10937,59131;49818;#N/A N/A;31894;12833;15094;-11824;16,19601637;13,84808659;4,624363034;50789;4,373725746;20,01693481;
CSX UW Equity;75899392324;89949,39232;4332,379923;12522;#N/A N/A;#N/A N/A;5594;7014;14050;16,00451801;12,82426466;6,147238221;12522;7,183308763;23,04294931;
CTAS UW Equity;40614415481;43123,16748;1195,695821;7116,34;#N/A N/A;3314,651;1385,492;1844,443;2222,887;29,49395061;22,43452222;5,495034501;7431,948;5,80240436;36,84188625;
CTLT UN Equity;18614296700;21919,2967;#N/A N/A;3998;#N/A N/A;1352;828;1146;2363;23,86163368;#N/A N/A;3,986036604;4483,3;4,889098811;44,81733059;
CTRA UN Equity;17817350294;18718,43829;245,5410129;1440,438;#N/A N/A;390,65;295,476;691,779;1027,43;38,3513256;21,57593333;5,332415091;1639,589;11,41654298;16,15822341;
CTSH UW Equity;44867003118;44132,00312;1407,938931;16652;#N/A N/A;5981;2114;2961;-944;17,24580036;14,06821904;2,520503008;17914;2,463548237;23,48137287;
CTVA UN Equity;35111237360;34940,23736;#N/A N/A;14217;#N/A N/A;5710;720;2094;-2161;16,9366153;10,59437155;2,313724452;15383;2,271353921;35,87842961;
CTXS UW Equity;12733679132;15698,84113;#N/A N/A;3217,17;#N/A N/A;2592,093;236,62;593,606;2965,162;66,64589793;26,44656747;3,948300065;3217,17;4,879705186;39,63198412;
CVS UN Equity;1,40599E+11;206726,4476;9321,610747;268706;#N/A N/A;49046;13911;20967;74188;15,32669392;11,46950996;0,491746152;285061;0,725200738;16,39246654;
CVX UN Equity;2,53163E+11;278856,9917;16141,22386;155606;#N/A N/A;41469;15492;33392;25694;17,87421762;8,351011971;1,61719068;155606;1,792070947;15,51872111;
CZR UW Equity;16276756319;29790,75632;#N/A N/A;3474;#N/A N/A;1706;-437;197;12879;24,31898475;12,79876179;1,909064648;8383;3,553710643;#N/A N/A;
D UN Equity;65334600000;108523,6;895;14172;#N/A N/A;10987;2055;4959;37412;36,93791695;19,19412805;4,795071773;13605;7,976743844;27,50143496;
DAL UN Equity;25402148436;48698,14844;1179,798995;29899;#N/A N/A;#N/A N/A;1886;3884;23296;22,22991427;12,53814326;0,845385045;29900;1,62875509;#N/A N/A;
DD UN Equity;39686754297;49681,7543;#N/A N/A;14338;#N/A N/A;4830;-2428;840;13492;19,99221629;11,07237671;2,767689997;16132;3,079702101;25,14868371;
DE UN Equity;1,16005E+11;119251,1969;6739,426204;44024;#N/A N/A;14908;8595;10761;3243;13,86817595;11,08179508;2,663394856;44024;2,708776959;19,88673195;
DFS UN Equity;33336000000;35327;#N/A N/A;13221;12087;#N/A N/A;8198;3785;1991;5,00099094;#N/A N/A;2,627017003;13221;2,672036911;6,515315833;
DG UN Equity;48306171954;61910,69495;2772,334115;33746,839;#N/A N/A;10718,862;3554,765;5509,002;12213,865;18,78227398;11,50554102;1,455524248;33983,525;1,821785555;20,41919645;
DGX UN Equity;16563547580;20266,54758;1556,469214;9437;#N/A N/A;3633;1971;2632;3497;7,676722568;6,666627494;1,576581169;11046;1,834740864;8,98100123;
DHI UN Equity;31778503794;34347,20379;4175,8;27774,2;#N/A N/A;7875;5332,8;5406,7;2239;6,440744786;6,352711228;1,158898368;27774,2;1,236658618;7,757023225;
DHR UN Equity;2,0434E+11;227207,85;6631,813635;29453;#N/A N/A;17952;7465;9633;19590;30,33566077;23,5864061;6,934410416;29453;7,714251519;31,90602382;
DIS UN Equity;2,60272E+11;316297,2106;3566,508005;67418;#N/A N/A;22287;3005;8969;42354;102,3919099;35,26560493;3,851777292;67418;4,691584007;90,27650691;
DISCA UW Equity;18425955473;31881,95547;1727,125;10671;#N/A N/A;6811;2515;3990;14217;16,00499773;9,396391239;1,171757356;11890;2,681409207;12,79441238;
DISCK UW Equity;18425955473;31881,95547;1727,125;10671;#N/A N/A;6811;2515;3990;14217;16,00499773;9,396391239;1,148246661;11890;2,681409207;12,53769923;
DISH UW Equity;16604077498;28660,9565;1772,124964;15493,435;#N/A N/A;5459,707;2582,615;3369,03;11939,659;8,239084296;6,673770952;0,919964365;17991,813;1,59299991;7,430362739;
DLR UN Equity;43402480744;60132,16674;#N/A N/A;3903,609;#N/A N/A;#N/A N/A;557,526;1697,463;14664,928;83,19613095;28,58749524;9,594030989;4379,324;13,73092439;91,24549259;
DLTR UW Equity;29518734062;38587,43406;#N/A N/A;25509,3;#N/A N/A;7788,3;1887,9;4125,7;8223,2;20,15851743;12,78957743;1,162076833;26008,5;1,483647041;22,16554075;
DOV UN Equity;24464432391;27203,34439;1209,112823;7907,081;#N/A N/A;2969,786;1281,508;1571,631;2738,912;21,14483425;17,30898945;3,09269568;7907,081;3,440377605;24,38691877;
DOW UN Equity;44177168829;57898,16883;6885,837937;54968;#N/A N/A;10777;7881;10723;13147;7,273947803;5,399437548;0,80792041;54968;1,053306812;6,668437274;
DPZ UN Equity;16543248163;21547,56416;643,6647553;4117,411;#N/A N/A;1594,493;725,642;835,359;4174,93;26,58698716;23,45476492;3,970503569;4370,727;4,929972557;34,61334001;
DRE UN Equity;22005530334;25720,27033;#N/A N/A;1105,923;#N/A N/A;#N/A N/A;347,054;709,202;3619,53;74,11028351;36,26649436;19,72519336;1105,923;23,25683645;81,36492377;
DRI UN Equity;17864710702;22958,7107;#N/A N/A;7196,1;#N/A N/A;1493,5;648,7;1384,2;4543;23,07176234;16,96247558;2,120020771;8590,4;2,672600892;22,17849625;
DTE UN Equity;23333499648;40989,49965;2009,820546;12177;#N/A N/A;6317;1986;3505;19136;23,7070559;12,55805749;1,661337854;14010;2,925731595;16,18720657;
DUK UN Equity;80791140000;150131,14;#N/A N/A;23868;#N/A N/A;17357;4553;10322;64123;34,27651598;15,05224985;3,251647804;24636;6,093973859;15,81654814;
DVA UN Equity;11042903000;23615,699;1005,331756;11550,604;#N/A N/A;3561,991;1694,636;2866,161;10848,912;13,19588506;9,611739936;1,009595953;11580,152;2,039325477;12,37100488;
DVN UN Equity;34235890000;38827,89;#N/A N/A;4989;#N/A N/A;553;-2854;-1552;2316;48,41382793;14,46642697;3,375433892;9015;4,307031614;21,03326254;
